Iteration,Model,ACC,Precision,Recall,F1,MCC,TP,TN,FP,FN
1,Random Forest,0.933649289099526,1.0,0.36363636363636365,0.5333333333333333,0.5818573654517123,8,189,0,14
2,Random Forest,0.919431279620853,1.0,0.34615384615384615,0.5142857142857142,0.5630471444062806,9,185,0,17
3,Random Forest,0.9146919431279621,1.0,0.25,0.4,0.4775445324656172,6,187,0,18
4,Random Forest,0.8957345971563981,1.0,0.3125,0.47619047619047616,0.527537695241295,10,179,0,22
5,Random Forest,0.9289099526066351,1.0,0.3181818181818182,0.4827586206896552,0.54294207449477,7,189,0,15
6,Random Forest,0.9289099526066351,1.0,0.4,0.5714285714285715,0.6083989264712285,10,186,0,15
7,Random Forest,0.919431279620853,1.0,0.19047619047619047,0.32,0.418130623503564,4,190,0,17
8,Random Forest,0.909952606635071,1.0,0.36666666666666664,0.5365853658536585,0.5760497663686127,11,181,0,19
9,Random Forest,0.9241706161137441,0.8888888888888888,0.34782608695652173,0.5,0.5282205297574897,8,187,1,15
10,Random Forest,0.9241706161137441,1.0,0.3333333333333333,0.5,0.5541306302097164,8,187,0,16
11,Random Forest,0.943127962085308,1.0,0.4782608695652174,0.6470588235294118,0.6704962471120209,11,188,0,12
12,Random Forest,0.919431279620853,1.0,0.34615384615384615,0.5142857142857142,0.5630471444062806,9,185,0,17
13,Random Forest,0.919431279620853,1.0,0.32,0.48484848484848486,0.5414812743238216,8,186,0,17
14,Random Forest,0.9383886255924171,1.0,0.35,0.5185185185185185,0.5724474459995192,7,191,0,13
15,Random Forest,0.9146919431279621,1.0,0.3076923076923077,0.47058823529411764,0.5295368220685766,8,185,0,18
16,Random Forest,0.9478672985781991,1.0,0.5217391304347826,0.6857142857142856,0.7020678592584297,12,188,0,11
17,Random Forest,0.909952606635071,0.8333333333333334,0.21739130434782608,0.3448275862068966,0.3976252336471082,5,187,1,18
18,Random Forest,0.9146919431279621,1.0,0.3333333333333333,0.5,0.5510266445792832,9,184,0,18
19,Random Forest,0.9146919431279621,1.0,0.21739130434782608,0.3571428571428571,0.4454166001141395,5,188,0,18
20,Random Forest,0.9289099526066351,1.0,0.34782608695652173,0.5161290322580645,0.5675602628441622,8,188,0,15
21,Random Forest,0.9052132701421801,0.8333333333333334,0.20833333333333334,0.33333333333333337,0.387738920745256,5,186,1,19
22,Random Forest,0.943127962085308,1.0,0.3684210526315789,0.5384615384615384,0.5888541636145507,7,192,0,12
23,Random Forest,0.8957345971563981,1.0,0.2413793103448276,0.3888888888888889,0.46405625547859686,7,182,0,22
24,Random Forest,0.909952606635071,1.0,0.2962962962962963,0.45714285714285713,0.5182317344905618,8,184,0,19
25,Random Forest,0.9146919431279621,1.0,0.28,0.43750000000000006,0.505266382858645,7,186,0,18
26,Random Forest,0.9383886255924171,1.0,0.3157894736842105,0.4799999999999999,0.543841704674495,6,192,0,13
27,Random Forest,0.9289099526066351,0.875,0.3333333333333333,0.48275862068965514,0.5142332876897207,7,189,1,14
28,Random Forest,0.943127962085308,0.9090909090909091,0.47619047619047616,0.6249999999999999,0.6342040219037971,10,189,1,11
29,Random Forest,0.8957345971563981,1.0,0.15384615384615385,0.2666666666666667,0.3708036608323322,4,185,0,22
30,Random Forest,0.909952606635071,1.0,0.2962962962962963,0.45714285714285713,0.5182317344905618,8,184,0,19
31,Random Forest,0.9478672985781991,1.0,0.42105263157894735,0.5925925925925926,0.631060196605438,8,192,0,11
32,Random Forest,0.909952606635071,1.0,0.4411764705882353,0.6122448979591837,0.6311967710195436,15,177,0,19
33,Random Forest,0.9241706161137441,1.0,0.2,0.33333333333333337,0.4295824284138405,4,191,0,16
34,Random Forest,0.9052132701421801,1.0,0.3103448275862069,0.4736842105263158,0.5287888207348064,9,182,0,20
35,Random Forest,0.9146919431279621,1.0,0.28,0.43750000000000006,0.505266382858645,7,186,0,18
36,Random Forest,0.8909952606635071,1.0,0.30303030303030304,0.4651162790697675,0.518030108901334,10,178,0,23
37,Random Forest,0.919431279620853,1.0,0.37037037037037035,0.5405405405405406,0.5822761485539883,10,184,0,17
38,Random Forest,0.9146919431279621,1.0,0.3333333333333333,0.5,0.5510266445792832,9,184,0,18
39,Random Forest,0.933649289099526,1.0,0.36363636363636365,0.5333333333333333,0.5818573654517123,8,189,0,14
40,Random Forest,0.919431279620853,1.0,0.37037037037037035,0.5405405405405406,0.5822761485539883,10,184,0,17
41,Random Forest,0.919431279620853,1.0,0.2608695652173913,0.41379310344827586,0.48911806276329123,6,188,0,17
42,Random Forest,0.9052132701421801,0.875,0.2692307692307692,0.411764705882353,0.4540420454087998,7,184,1,19
43,Random Forest,0.9241706161137441,1.0,0.2,0.33333333333333337,0.4295824284138405,4,191,0,16
44,Random Forest,0.919431279620853,1.0,0.34615384615384615,0.5142857142857142,0.5630471444062806,9,185,0,17
45,Random Forest,0.9383886255924171,1.0,0.43478260869565216,0.6060606060606061,0.63770082364033,10,188,0,13
46,Random Forest,0.9146919431279621,1.0,0.3333333333333333,0.5,0.5510266445792832,9,184,0,18
47,Random Forest,0.9004739336492891,1.0,0.3225806451612903,0.4878048780487805,0.5374738967584174,10,180,0,21
48,Random Forest,0.9478672985781991,1.0,0.35294117647058826,0.5217391304347826,0.5779298135937089,6,194,0,11
49,Random Forest,0.9052132701421801,1.0,0.3548387096774194,0.5238095238095238,0.5651148898318619,11,180,0,20
50,Random Forest,0.9289099526066351,1.0,0.34782608695652173,0.5161290322580645,0.5675602628441622,8,188,0,15
51,Random Forest,0.9052132701421801,1.0,0.3103448275862069,0.4736842105263158,0.5287888207348064,9,182,0,20
52,Random Forest,0.909952606635071,1.0,0.2692307692307692,0.42424242424242425,0.49412078933138615,7,185,0,19
53,Random Forest,0.9146919431279621,0.8571428571428571,0.2608695652173913,0.4,0.4446879197053786,6,187,1,17
54,Random Forest,0.9052132701421801,1.0,0.23076923076923078,0.375,0.4563498213812203,6,185,0,20
55,Random Forest,0.919431279620853,1.0,0.32,0.48484848484848486,0.5414812743238216,8,186,0,17
56,Random Forest,0.9289099526066351,1.0,0.34782608695652173,0.5161290322580645,0.5675602628441622,8,188,0,15
57,Random Forest,0.9241706161137441,1.0,0.2,0.33333333333333337,0.4295824284138405,4,191,0,16
58,Random Forest,0.9146919431279621,1.0,0.14285714285714285,0.25,0.3612402323862965,3,190,0,18
59,Random Forest,0.9146919431279621,0.8333333333333334,0.22727272727272727,0.35714285714285715,0.40813787861290424,5,188,1,17
60,Random Forest,0.943127962085308,1.0,0.3333333333333333,0.5,0.5601974100363033,6,193,0,12
61,Random Forest,0.9146919431279621,1.0,0.4,0.5714285714285715,0.6031741833644632,12,181,0,18
62,Random Forest,0.9241706161137441,1.0,0.3333333333333333,0.5,0.5541306302097164,8,187,0,16
63,Random Forest,0.9146919431279621,1.0,0.28,0.43750000000000006,0.505266382858645,7,186,0,18
64,Random Forest,0.943127962085308,0.8333333333333334,0.3125,0.45454545454545453,0.4895406435554913,5,194,1,11
65,Random Forest,0.9052132701421801,0.875,0.2692307692307692,0.411764705882353,0.4540420454087998,7,184,1,19
66,Random Forest,0.9052132701421801,1.0,0.25925925925925924,0.4117647058823529,0.48357179903513503,7,184,0,20
67,Random Forest,0.9146919431279621,1.0,0.25,0.4,0.4775445324656172,6,187,0,18
68,Random Forest,0.933649289099526,0.8888888888888888,0.38095238095238093,0.5333333333333333,0.5565680162797259,8,189,1,13
69,Random Forest,0.9383886255924171,1.0,0.35,0.5185185185185185,0.5724474459995192,7,191,0,13
70,Random Forest,0.909952606635071,0.9,0.3333333333333333,0.48648648648648646,0.5155042641274169,9,183,1,18
71,Random Forest,0.9052132701421801,0.9090909090909091,0.3448275862068966,0.5000000000000001,0.525592975753833,10,181,1,19
72,Random Forest,0.919431279620853,1.0,0.34615384615384615,0.5142857142857142,0.5630471444062806,9,185,0,17
73,Random Forest,0.9241706161137441,1.0,0.30434782608695654,0.4666666666666667,0.5296011785812472,7,188,0,16
74,Random Forest,0.9004739336492891,1.0,0.19230769230769232,0.32258064516129037,0.415576118276966,5,185,0,21
75,Random Forest,0.933649289099526,0.8333333333333334,0.2777777777777778,0.4166666666666667,0.4581234432680304,5,192,1,13
76,Random Forest,0.9052132701421801,1.0,0.2857142857142857,0.4444444444444445,0.5075087142143656,8,183,0,20
77,Random Forest,0.909952606635071,1.0,0.20833333333333334,0.3448275862068966,0.43487713549616086,5,187,0,19
78,Random Forest,0.943127962085308,1.0,0.42857142857142855,0.6,0.6349108124338434,9,190,0,12
79,Random Forest,0.933649289099526,1.0,0.4166666666666667,0.5882352941176471,0.6226115223751979,10,187,0,14
80,Random Forest,0.933649289099526,0.9,0.4090909090909091,0.5625000000000001,0.5807783585253177,9,188,1,13
81,Random Forest,0.933649289099526,0.9090909090909091,0.43478260869565216,0.5882352941176471,0.6020848795391794,10,187,1,13
82,Random Forest,0.919431279620853,1.0,0.37037037037037035,0.5405405405405406,0.5822761485539883,10,184,0,17
83,Random Forest,0.909952606635071,1.0,0.24,0.3870967741935484,0.46664343728480273,6,186,0,19
84,Random Forest,0.9289099526066351,1.0,0.4,0.5714285714285715,0.6083989264712285,10,186,0,15
85,Random Forest,0.957345971563981,1.0,0.5,0.6666666666666666,0.6911749216205892,9,193,0,9
86,Random Forest,0.957345971563981,1.0,0.4,0.5714285714285715,0.6184165460191406,6,196,0,9
87,Random Forest,0.9241706161137441,1.0,0.42857142857142855,0.6,0.627784536496542,12,183,0,16
88,Random Forest,0.9289099526066351,1.0,0.25,0.4,0.4814520915987949,5,191,0,15
89,Random Forest,0.909952606635071,1.0,0.40625,0.5777777777777777,0.6060250936565368,13,179,0,19
90,Random Forest,0.9146919431279621,0.875,0.2916666666666667,0.43750000000000006,0.47597450522692886,7,186,1,17
91,Random Forest,0.9478672985781991,1.0,0.5217391304347826,0.6857142857142856,0.7020678592584297,12,188,0,11
92,Random Forest,0.9241706161137441,1.0,0.30434782608695654,0.4666666666666667,0.5296011785812472,7,188,0,16
93,Random Forest,0.9289099526066351,0.8571428571428571,0.3,0.4444444444444444,0.4821060764363939,6,190,1,14
94,Random Forest,0.919431279620853,0.9230769230769231,0.42857142857142855,0.5853658536585366,0.5969671674328076,12,182,1,16
95,Random Forest,0.933649289099526,1.0,0.2222222222222222,0.3636363636363636,0.45518424835040494,4,193,0,14
96,Random Forest,0.933649289099526,1.0,0.4166666666666667,0.5882352941176471,0.6226115223751979,10,187,0,14
97,Random Forest,0.9146919431279621,1.0,0.3793103448275862,0.5499999999999999,0.5875137562586118,11,182,0,18
98,Random Forest,0.8957345971563981,1.0,0.26666666666666666,0.4210526315789474,0.48761340308719897,8,181,0,22
99,Random Forest,0.9289099526066351,1.0,0.3181818181818182,0.4827586206896552,0.54294207449477,7,189,0,15
100,Random Forest,0.9052132701421801,0.8888888888888888,0.2962962962962963,0.4444444444444444,0.4808173317735895,8,183,1,19
